verš	verse
mínění	opinion
žaludek	stomach
uplatnit	enforce
cvičení	exercises
podruhé	secondly
srovnat	level
dotaz	inquiry
charakteristika	characteristic
povolání	profession
překlad	translation
přednáška	lecture
vyskočit	jump
Ladislav	Ladislav
Stanislav	Stanislav
Celsius	Celsius
nepochybně	doubtless
olympijský	Olympic
prázdniny	holidays
řetězec	String
zlepšení	improvement
zveřejnit	published
S	S
aj	and
ranní	morning
vypracovat	develop
volně	freely
zavřený	closed
zvedat	lift
odehrávat	place
respektovat	respect
milenec	lover
čára	line
zlo	evil
zarazit	stop
Indie	India
nemovitost	property
vzdělávání	education
pořídit	buy
vyhovovat	suit
půlnoc	midnight
neboli	or
Bill	Bill
příloha	annex
tamní	local
dosažení	attainment
publikace	Publications
rozvod	divorce
spis	file
tragedie	Tragedy
vlhký	wet
obránce	defender
logický	logical
mnohdy	sometimes
žádoucí	desirable
užít	enjoy
talíř	plate
pravomoc	competence
dýchat	breathe
šedesát	sixty
obdobný	analogical
směrnice	directive
maska	mask
odhadovat	guess
taška	bag
chalupa	cottage
nařídit	order
propustit	sack
souboj	duel
dědeček	grandfather
E	E
ústava	constitution
zvolat	exclaim
hřbitov	cemetery
uvěřit	believe
ohromný	huge
žijící	living
přimět	bring
etapa	phase
shoda	agreement
samota	solitude
bydlení	housing
holčička	baby girl
vztahovat	relate
civilizace	civilization
pásmo	zone
silniční	road
pobočka	branch
řádek	line
nápadný	noticeable
spravedlivý	righteous
nova	nova
III	III
oddíl	Section
podrobnost	detail
stolek	table
kapka	drop
výjimečný	exceptional
lampa	lamp
hmotný	physical
zapojit	plug in
masový	mass
mívat	blacking
ocenit	appreciate
výhra	win
kdokoliv	anyone
ztracený	lost
chytrý	clever
odpustit	forgive
získaný	acquired
Jakub	Jacob
vyzkoušet	test
hlídat	watch
posléze	then
ušetřit	save
pomalý	slow
zabezpečení	security
nástup	boarding
místopředseda	vice-chairman
prosazovat	assert
vázat	bond
akt	act
očekávaný	expected
kabát	coat
rozsudek	verdict
setkávat	meet
holý	bare
oslovit	address
vidění	vision
výbuch	explosion
lhát	lie
skvrna	stain
pytel	sack
Svoboda	Freedom
zrak	sight
princezna	princess
přinejmenším	at least
uhlí	coal
pochopení	understanding
pořádný	good
paluba	deck
vykonávat	exercise
kufr	suitcase
bohatství	wealth
přístupný	accessible
zaměřený	focused
potěšit	please
oceán	ocean
hřích	sin
rozšířený	widespread
index	index
pocítit	experience
dovědět	learn
schodiště	staircase
skříň	cupboard
výprava	expedition
charakterizovat	characterize
mlha	fog
natočit	shoot
turistický	tourist
tržba	revenue
vyšetřovatel	investigator
úder	strike
San	San
mimořádně	extremely
definitivně	finally
pořadí	order
ledový	iced
příznak	symptom
Špidla	Spidla
tempo	pace
formální	formal
sebevražda	suicide
ha	ha
maximum	maximum
tančit	dance
komentovat	comment
narození	birth
přispívat	contribute
domluvit	agree
stydět	ashamed
Asie	Asia
čest	honor
nadšení	enthusiasm
katastrofa	disaster
krádež	theft
letoun	airplane
podrobný	detailed
poškození	damage
debata	debate
hokejový	hockey
postavený	built
krabice	boxes
kritik	critic
louka	meadow
pára	steam
zírat	goggle
zemský	earth
kráva	cow
pokrok	progress
sluha	servant
chata	cottage
portrét	portrait
stávající	current
plíce	lungs
uklidnit	soothe
večerní	evening
taneční	dancing
vzhled	appearance
prodejna	shop
dolní	lower
prádlo	clothes
asociace	association
slepý	blind
vášeň	passion
zapálit	ignite
protest	protest
rovnováha	balance
odvětví	branch
cestovat	travel
přenést	transfer
složení	composition
sedmý	seventh
komplex	complex
mrtvola	corpse
komisař	commissioner
otevírat	opening
objednat	order
políbit	kiss
liberecký	liberecký
sklep	cellar
království	kingdom
inspektor	inspector
primátor	Lord Mayor
stanovení	determination
komplexní	complex
doporučit	recommend
psychický	psychic
obnova	restoration
spolek	guild
vize	vision
schovat	hide
děj	action
doplňovat	supplement
Hana	Blame
potomek	descendant
žaloba	action
církevní	church
legenda	legend
neštěstí	unhappiness
zaznít	heard
kavárna	cafe
laboratoř	lab
mrak	cloud
fantazie	fantasy
bouře	storm
vítat	welcome
zapotřebí	required
útěk	escape
šířit	spread
čtení	reading
koberec	carpet
oděv	clothing
Bush	Bush
provozovat	run
spolehlivý	reliable
zdravotnictví	Health
poušť	desert
úvod	introduction
každodenní	daily
kouřit	smoke
opírat	lean
koupelna	bathroom
výhradně	only
ráj	paradise
lhůta	deadline
režie	Directing
čelit	counter
terén	terrain
způsobovat	cause
námořní	seagoing
přiznávat	grant
opuštěný	abandoned
talent	talent
posluchač	listener
vlast	country
uniforma	uniform
venkov	country
chráněný	protected
vysílání	broadcasting
zapomínat	forget
vysílat	carry
líto	sorry
NATO	ON IT
post	post
mediální	Media
reprezentace	representation
vila	villa
vztek	rage
procházka	walk
peklo	hell
sklon	slope
kritizovat	criticize
jezdec	rider
lavice	bench
ukládat	store
veřejně	in public
používaný	used
slavnost	celebration
hlasitě	loud
rekord	record
standard	standard
brambora	spud
reklamní	advertising
běh	run
pěst	fist
přehlídka	parade
vyprávění	story
běžně	ordinarily
zjištění	finding
zpracovat	process
Vysoký	High
výpočet	calculation
vyhýbat	avoiding
snídaně	breakfast
tlačit	push
zvyknout	accustom
e	e
rozdílný	different
zásluha	merit
spořitelna	savings bank
Francouz	Frenchman
proměna	transformation
sbírat	collect
iniciativa	initiative
kontext	context
nerv	nerve
spojenec	ally
unavený	weary
milost	reprieve
čistě	cleanly
vystřídat	relieve
lev	lion
mince	coin
nádrž	tank
kterýkoliv	either
nápoj	beverage
G	G
rodný	home
utrpení	suffering
zraněný	wounded
spěchat	hurry
prominout	pardon
nádoba	vessel
bledý	pale
líbat	kiss
vypít	drink
osolit	salted
nutně	necessarily
ostře	sharply
integrace	integration
jakkoliv	however
znění	amended
Antonín	Antonín
strážník	officer
zastupitel	councilor
Blesk	Lightning
stranou	aside
devadesátý	ninetieth
záření	radiation
milostný	amatory
jarní	spring
intenzívní	intensive
obdivovat	admire
strčit	poke
plánovaný	planned
organizátor	organizer
pochybnost	question
zvolna	slowly
Lukáš	Luke
maximálně	maximally
lézt	climb
kouř	smoke
mokrý	wet
oprávněný	authorized
třást	shake
hořet	burn
uplatnění	use
lokalita	locality
obálka	cover
valný	Valný
výuka	tuition
absolvovat	graduate
utrpět	suffer
opozice	Opposition
vir	Virus
nedělní	Sunday
náhlý	sudden
rozhodčí	referee
pero	pen
ač	though
institut	institute
pěstovat	grow
upadnout	fall
idea	idea
námět	theme
slavit	celebrate
vylézt	climb
obnovit	restore
ustoupit	retreat
kontrolní	control
opouštět	leaving
hrabě	earl
rozdělení	distribution
uplynulý	past
krevní	blood
počínat	act
modlitba	prayer
nízko	low
požadovaný	required
smrtelný	deadly
betonový	Concrete
poštovní	postal
vzadu	back
spolupracovník	co-worker
omezovat	limit
surovina	raw material
kůra	peel
úvodní	opening
hodinky	watch
pohlaví	sex
nynější	present
práh	threshold
kouzlo	magic
hluk	noise
hrdlo	throat
tajemník	secretary
zalít	suffuse
medaile	medal
mez	limit
zatknout	arrest
zápis	writing
krutý	cruel
jednota	unity
L	L
mizet	disappear
zbytečně	unnecessarily
protokol	protocol
vynést	bring
získání	acquisition
nenávist	hatred
malba	painting
navázat	establish
šaman	shaman
humor	humor
ostravský	Ostrava
podnikový	corporate
výskyt	occurrence
objev	discovery
organizační	Organizational
ukazatel	pointer
územní	territorial
rybník	pond
likvidace	liquidation
používání	use
vítězný	winning
hromadný	mass
stezka	trail
potok	creek
zbývající	remaining
komunikační	Communications
platební	payment
znova	anew
tkáň	tissue
studium	study
angličtina	English
automaticky	automatically
měřítko	scale
jazykový	language
klín	wedge
lahev	Bottle
šampionát	Championships
výhled	outlook
úžasný	amazing
burza	exchange
snést	endure
záruka	warranty
důkladně	thoroughly
kabinet	cabinet
